address,lat,long,address_rus
"D. 9, LIT. A, UL. KARBYSH SANKT-PETERB",59.993001,30.353265,",,Санкт-Петербург"
KOMSOM NA AMURE 37     Komsomolsk-31,0,0,",,"
UL. INTERNAC-AJA 43       OMSK,54.992467,73.373449,",,Омск"
"D. 59, UL. CHERNYSHEVSKOG SARATOV G   ",51.513562,45.992386,",,Саратов"
"D. 36, UL. HAMOVNICHESKII MOSKVA G    ",55.755814,37.617635,",,Москва"
UL.SIBIRJAKOV-GVARD       NOVOSIBIRSK,54.978596,82.897334,",,Новосибирск"
"LENINGRADSKIJ, 80         MOSKVA      ",55.810076,37.509083,",,Москва"
"D. 12, UL. INSTRUMENTAL'N KRASNOYARSK ",56.018434,92.973835,",,Красноярск"
"D. 33B, UL. MOLODOGVARDEI CHELYABINSK ",55.187738,61.333644,",,Челябинск"
ABB 158 KRASNOKOKSH-AYA   KAZAN,55.818645,49.059729,",,Казань"
"D. 118/11, UL. BOL'SHAYA  YAROSLAVL G ",57.621426,39.86142,",,Ярославль"
KRASNOGO MAYAKA UL        MOSCOW,55.610789,37.600549,",,Москва"
"D. 14, PER. UL'YANOVSKII  ULYANOVSK G ",54.308981,48.373775,",,Ульяновск"
"D. 220, PR-KT MOSKOVSKII  SANKT-PETERB",59.846739,30.322498,",,Санкт-Петербург"
43A SCHORSA STR           BELGOROD,50.567314,36.572302,",,Белгород"
"ORABLESTROIT.PR.,22B   Nizhniy Novgoro",56.326887,44.005986,",,Нижний Новгород"
KUTUZOVSKIJ PROSPEK       MOSKVA,55.749826,37.570815,",,Москва"
3-DACHNAYA STR.           SARATOV,51.577174,45.970467,",,Саратов"
PL. KIEVSKOGO VOKZA       MOSKVA,55.743041,37.566494,",,Москва"
21A VLADIMIRSKIY AV.      S.-PETERBURG,59.928235,30.34606,",,Санкт-Петербург"
26 BORISOVSKIE PRUDY STR. MOSCOW,55.639959,37.758204,",,Москва"
1 STROITELEY AV.          SARATOV,51.586537,45.966398,",,Саратов"
"D. 32, UL. URIYA DVUZHIL' KEMEROVO G  ",55.311292,86.090584,",,Кемерово"
20 PRIBREZHNAYA ST.       SANKT-PETERB,59.831752,30.505125,",,Санкт-Петербург"
"UL. AVTOZAVODSKAJA,       MOSKVA      ",55.710281,37.665183,",,Москва"
"D. 7, UL. SKVORCOVA-STEPA TVER G      ",56.871158,35.887264,",,Тверь"
UL. KUTUZOVA              VOLOGDA 20 N,59.156033,38.72259,",,"
32 FRUNZENSKIY            S.-PETERBURG,59.862176,30.334203,",,Санкт-Петербург"
"D. 19, UL. ZABOBONOVA     BOLOTNOE G  ",55.672001,84.385447,",,город Болотное"
46 30 LET POBEDY ST       SURGUT,61.253944,73.43343,",,Сургут"
"STAROPETROV. PER, 11.2 Moskva         ",55.825532,37.503405,",,Москва"
"D. 28 D, PR-KT KOMSOMOL'S CHELYABINSK ",55.195061,61.352859,",,Челябинск"
UL. PUGACHEVA-5           BELGOROD,50.590822,36.597329,",,Белгород"
193 MOSKOVSKOE H/W.       S.-PETERBURG,59.829898,30.346303,",,Санкт-Петербург"
42B-A KAMENNOOSTROVSKIY A S.-PETERBURG,59.96689,30.309903,",,Санкт-Петербург"
"D. 14A, PR-KT ARHITEKTORO NOVOKUZNETSK",53.893747,87.115643,",,Новокузнецк"
"D. 6, UL. KOMSOMOL'SKAYA  YAROSLAVL G ",57.624646,39.884157,",,Ярославль"
11E SEVASTOPOLSKIY        MOSCOW,55.684747,37.602454,",,Москва"
"D. 23, MKR. PERVOMAISKII  IRKUTSK G   ",52.255046,104.232762,",,Иркутск"
"D. 3 A, UL. PRIBOROSTROIT RYBINSK G   ",58.047821,38.78178,",,Рыбинск"
3-RD DACHNAYA             SARATOV,51.550109,46.0003,",,Саратов"
"D. 93, UL. SUDOSTROITEL'N KRASNOYARSK ",56.010563,92.852572,",,Красноярск"
UL. VOKZALNAJA MAGI       NOVOSIBIRSK,55.035519,82.900577,",,Новосибирск"
"D. 25, PR-KT IM MUSY DZHA NABEREZHNYE ",55.682336,52.295119,",,Набережные Челны"
"D. 29, NAB. SEREBRYANICHE MOSKVA G    ",55.750504,37.653182,",,Москва"
"D. 137 A, UL. MICHURINSKA TAMBOV G    ",52.747584,41.422252,",,Тамбов"
STAROVATUTINSKIJ PR       MOSKVA,55.8734,37.675433,",,Москва"
"MOROZOVA P.L., 86      KHabarovsk     ",48.42896,135.103915,",,Хабаровск"
"D. 15, UL. 78 DOBROVOL'CH KRASNOYARSK ",56.043724,92.907791,",,Красноярск"
"OKTYABRSKAYA, 105      Tver           ",42.324467,69.57106,",,Шымкент"
"UL. TELEVIZORNAJA,        KRASNOJARSK ",56.023339,92.80188,",,Красноярск"
"D. 109, KORP. 3, UL. BOGD CHEBOXARY G ",56.112709,47.220365,",,Чебоксары"
